Lemma;Categoria;Categoria_2;Categoria_3;Descrizione;Descrizione_2;Descrizione_3;Frequenza;Concreto_Astratto;Stagione;Camera;HasImage
Abat-jour;Arredamento;Paralume;Camera da letto;Lampada con paralume;;;media ;Concreto;;;TRUE
Abbottonare;Verbo;Gesto;;Chiudere un indumento infilando i botttoni negli appositi occhielli;;;alta;Concreto;;;TRUE
Accappatoio;Oggetto;Biancheria;Bagno;Indumento che si indossa dopo il bagno per asciugarsi;;;alta;Concreto;;;TRUE
Accendino;Oggetto;Fiamma;;Serve per accendere le sigarette;;;alta;Concreto;;;TRUE
Aceto;Condimento;Cucina;;Liquido ottenuto dalla fermentazione di alcolici usato per condire o conservare alimenti;;;alta;Concreto;;;TRUE
Acquario;Contenitore;Vasca;;Vasca in cui si tengono in vita animali e piante acquatiche;;;alta;Concreto;;;TRUE
Acrobata;Persona;Atleta;;Chi compie esercizi di agilità, equilibrio e destrezza;;;media ;Concreto;;;TRUE
Affamato;Aggettivo;Fame;Persona;Lo è chi ha fame;;;media ;Astratto;;;
Africa;Continente;;;Il continente del deserto del Sahara;;;media ;Concreto;;;TRUE
Agenda;Oggetto;;;Libretto dove si segnano i propri appuntamenti e impegni;;;alta;Concreto;;;TRUE
Aggressivo;Aggettivo;;;Chi è incline ad assalire o aggredire;Prodotto che esercita un'azione forte che potrebbe anche essere dannosa;;alta;Astratto;;;
Aglio;Pianta;Condimento;Cucina;Pianta il cui bulbo, suddiviso in spicchi e dall'odore forte, è usato come condimento;Condimento usato in alternativa alla cipolla;;alta;Concreto;;;TRUE
Agnello;Animale;;;Il piccolo della pecora fino a un anno d'età;;;alta;Concreto;;;TRUE
Ago;Oggetto;Strumento;;Strumento d'acciaio piccolo e sottile usato per cucire;;;alta;Concreto;;;TRUE
Agricoltore;Persona;Mestiere;;Chi coltiva la terra ;;;alta;Concreto;;;TRUE
Agrodolce;Aggettivo;Gusto;Sapore;Dal sapore agro e dolce insieme;;;alta;Astratto;;;
Albergo;Edificio;;;Edificio attrezzato per fornire alloggio;;;alta;Concreto;;;TRUE
Albero;Pianta;;;Pianta alta formata da radici, tronco e rami con foglie;;;alta;Concreto;;;TRUE
Albicocca;Frutto;;;Frutto con buccia vellutata e polpa tenera e dolce di colore arancione;;;alta;Concreto;Estate;;TRUE
Alce;Animale;Mammifero;Ruminante;Grande mammifero ruminante con muso allungato e grandi corna palmate che vive nelle regioni nordiche;;;bassa;Concreto;;;TRUE
Alligatore;Animale;Rettile;;Grosso rettile dell'ordine dei coccodrilli;;;media ;Concreto;;;TRUE
Altalena;Oggetto;Giostra;;Giostra su cui i bambini possono sedersi e dondolarsi oppure farsi spingere;;;alta;Concreto;;;TRUE
Amaca;Oggetto;Giardino;;Lettino pensile formato da una rete di corda o da una stuoia rettangolare solitamente legate a due tronchi d'albero;;;media ;Concreto;;;TRUE
Amarena;Frutto;;Cucina;Varietà di cieliegia di colore rosso scuro e dal sapore acidulo;;;alta;Concreto;Estate;;
Ambulanza;Veicolo;Mezzo di trasporto;;Veicolo di primo soccorso destinato al trasporto urgente di malati o feriti;;;alta;Concreto;;;TRUE
Amichevole;Aggettivo;;;Atteggiamento confidenziale;;;alta;Astratto;;;
Ananas;Frutto;Frutto esotico;Cucina;Frutto a forma di pigna con la polpa gialla e un ciuffo di foglie sulla sommità;;;alta;Concreto;Estate;;TRUE
Anatra;Animale;Uccello;;Uccello acquatico con zampe corte, piedi palmati adatti al nuoto e becco largo e appiattito;;;alta;Concreto;;;TRUE
Ancora;Strumento;Oggetto;Mare;Pesante arnese che serve a far presa sul fondo marino tenendo ferma la nave;;;alta;Concreto;;;TRUE
Anguria;Frutto;Frutto estivo;Cucina;Grosso frutto tondeggiante con scorza liscia di colore verde, polpa rossa acquosa e piccoli semini neri;;;alta;Concreto;Estate;;
Aperto;Aggettivo;;;Non chiuso;;;alta;Astratto;;;
Arancia;Frutto;Agrume;Cucina;Frutto con buccia arancione e rugosa, la cui polpa si mangia a spicchi o come spremuta;;;alta;Concreto;Inverno;;
Arrabbiato;Aggettivo;Umore;;Adirato, incollerito;;;alta;Astratto;;;
Asparagi;Cibo ;Cucina;Verdura;Ortaggio di colore verde, dalla forma lunga e sottile;;;alta;Concreto;Primavera;;
babbo;Genitore;Padre ;;Chi ha il compito di curare la crescita e l'educazione di un figlio.;;;alta ;concreto;;;TRUE
Bacca ;Frutto;;;Frutto completamente carnoso, senza nocciolo,con un solo seme o più semi.;;;Alta;concreto;;;TRUE
Baccello;Frutto;Guscio;; Guscio dalla  forma allungata , nella cui cavità si allineano più semi.;;;Media;Concreto;;;TRUE
Bacinella ;Vaschetta;Bagno;;Recipinte per liquidi ,di dimensioni modeste e di materiali diversi, che serve per più usi.;;;alta;Concreto;;;TRUE
balcone;casa ;;;struttura che sporge dal muro esterno di un edificio, protetta da una ringhiera.;;;alta ;Concreto;;;TRUE
balena;animale ;;;genere di grandi mammiferi marini dell'ordine dei Cetacei;;;media ;Concreto;;;TRUE
bambola;giocattolo;;Cameretta;fantoccio di aspetto femminile usato come giocattolo.;;;alta;Concreto;;;TRUE
banana ;frutto ;;Cucina;frutto del banano, giallo, con polpa compatta e dolce. ;;;alta ;Concreto;;;TRUE
barca;mezzo di trasporto;mare ;;galleggiante di forme limitate capace di trasportare cose o persone .;;;alta ;Concreto;;;TRUE
basilico ;pianta ;natura;Cucina;pianta erbacea della famiglia delle Labiate usata in cucina .;;;alta ;Concreto;;;TRUE
bastone;oggetto ;strumento ;;pezzo di legno usato per appoggiarsi  camminando.;;;alta ;Concreto;;;TRUE
battesimo ;rito ;religione ;;il primo sacramento ;;;alta ;Concreto;;;TRUE
baule ;cassa ;;;grande cassa con coperchio per trasportare cose personali ;;;media ;Concreto;;;TRUE
bavaglino ;tovagliolo ;bambino;Cucina;piccolo tovagliolo che si lega al collo dei bambini perchè non si sporchino;;;alta ;Concreto;;;TRUE
